,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
0,"3 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",1190 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom3,₹1.65 Cr 
1,"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",652 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹90 Lac 
2,"4 BHK Flat for Sale in The Strand, Kharadi, Pune",1566 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyThe Strand,Bathroom4,₹2.02 Cr 
3,"2 BHK Flat for Sale in Majestique Marbella, Kharadi, Pune",810 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹1.05 Cr 
4,"2 BHK Flat for Sale in Pristine Allure, Kharadi, Pune",753 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹87.4 Lac 
5,"3 BHK Flat for Sale in Marvel Zephyr, Kharadi, Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyMarvel Zephyr,Bathroom3,₹3.50 Cr 
6,"2 BHK Flat for Sale in Majestique Marbella, Kharadi, Pune",824 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹90 Lac 
7,"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",652 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹77 Lac 
8,"2 BHK Flat for Sale in Flamante By VTP Luxe Phase 1, Kharadi, Pune",1029 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹78 Lac 
9,"2 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",1087 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹79 Lac 
10,"3 BHK Flat for Sale in Flamante By VTP Luxe Phase 1, Kharadi, Pune",1085 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹1.34 Cr 
11,"3 BHK Flat for Sale in Pristine Allure, Kharadi, Pune",1016 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.12 Cr 
12,"2 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",674 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹73.5 Lac 
13,"2 BHK Flat for Sale in VTP Euphoria, Kharadi, Pune",855 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom2,₹81.2 Lac 
14,"2 BHK Flat for Sale in Flamante By VTP Luxe Phase 1, Kharadi, Pune",762 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹86 Lac 
